,Unnamed: 0,valence,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,cat
19322,0.1133013008320637,0.342,0.0236947791164658,"['Tyga', 'Offset']",0.8947368421052632,9.382807357371278e-29,0.559,1.0,5IaHrVsrferBYDm0bDyABy,0.0,0.0,0.101,0.9999897993186849,1.0,Taste (feat. Offset),1.4329805996472665e-08,0.1237113402061855,3.4928095411057674e-11,0.0
18356,0.1076409234735731,0.319,0.000363453815261,"['Mike WiLL Made-It', 'Miley Cyrus', 'Wiz Khalifa', 'Juicy J']",0.8694331983805668,1.0188321025152168e-28,0.599,1.0,20FZrLl9zSbO9b3DhaqO6M,8.2e-06,2.0124503595572726e-05,0.13,0.9999917749839692,1.0,23,1.286008230452663e-08,0.0632989690721649,4.990211643595654e-11,0.0
16503,0.0967830774639634,0.311,0.0369477911646586,"['Ludacris', 'Sleepy Brown']",0.9736842105263158,9.470684570552836e-29,0.637,1.0,26liGJfeDiHLVn0qTETkt1,0.022,2.0124503595572726e-05,0.156,0.9999915050004592,1.0,Blueberry Yum Yum,1.1022927689594181e-08,0.1092783505154639,4.516229754116453e-11,0.0
19103,0.1120180475799836,0.298,0.0025301204819277,"['Young Thug', 'Future']",0.8522267206477733,8.655905498383087e-29,0.597,1.0,25oOaleife6E2MIKmFkPvg,0.0,4.4721119101280995e-06,0.124,0.9999907979867856,1.0,Relationship (feat. Future),1.3778659611992944e-08,0.0646391752577319,5.203606858839517e-11,0.0
17164,0.100656275635767,0.316,0.0405622489959839,"['2Pac', 'Talent']",0.8755060728744939,1.0865313239165624e-28,0.657,1.0,00i2HU7TEzzftShjRrDSEF,0.0,1.5652391685445453e-05,0.14,0.9999904494462009,1.0,Changes,1.3594944150499648e-08,0.0783505154639175,3.9604826026079924e-11,0.0
