,Unnamed: 0,valence,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,cat
56676,0.3321809445681472,0.0261,0.003574297188755,['Thunderstorm Sound Bank'],0.1862348178137652,5.28354537828459e-29,0.472,0.0,5dqINJU28icQujnJU37BJS,0.801,1.118027977531818e-05,0.533,0.9999770911316594,0.0,Thunderstorm By The Waterfall,1.2308935920046916e-08,0.0702061855670103,2.9454741602332736e-11,0.5
47775,0.2800246103363412,0.308,0.1686746987951807,['Allman Brothers Band'],0.3269230769230769,8.310890664644108e-28,0.542,0.0,5CahDIpRZSLStfqNdznMoE,0.871,1.3416335730381817e-05,0.659,0.9999834840522321,0.0,"Mountain Jam (Theme From “First There Is A Mountain”) - Live At The Fillmore East, March 12 & 13, 1971",6.062610229276897e-09,0.0409278350515463,5.5702673865182644e-11,0.5
48147,0.2822043829837103,0.128,0.03714859437751,['Camel'],0.2064777327935222,2.2784329445008706e-28,0.499,0.0,66mNiVdvhrHBqOlIqyEjee,0.777,1.118027977531818e-05,0.376,0.999983522879292,0.0,Nimrodel / The Procession / The White Rider,7.348618459729453e-09,0.0443298969072164,2.8590396526390627e-11,0.5
65345,0.3829778506972928,0.391,0.1536144578313253,['Allman Brothers Band'],0.2692307692307693,1.3035394485764294e-28,0.696,0.0,6EydY3DiK1th0nE7TuxKco,0.938,8.9442238202562e-06,0.69,0.9999859653722512,0.0,"Hot 'Lanta - Live At Fillmore East, March 13, 1971",5.6951793062903e-09,0.0506185567010309,2.7247721103268956e-11,0.5
47506,0.2784483768897222,0.259,0.1234939759036144,['Allman Brothers Band'],0.3360323886639676,8.294328239554311e-28,0.741,0.0,0wp5kUryIlDFR1jVXN6i3b,0.705,1.3416335730381817e-05,0.942,0.999987063365389,0.0,"Mountain Jam (Theme From “First There Is A Mountain”) - Live At The Fillmore East, March 12 & 13, 1971",6.430041152263316e-09,0.0551546391752577,5.4548550419451377e-11,0.5
